Time,Ambient_temp,Irradiance,PV_temp,PV_input_current(A),PV_input_voltage(V),PV_no.
2021-02-01 00:00:00,25.7,0.0,24.2,0.0,0.0,2
2021-02-01 00:15:00,25.3,0.0,23.3,0.0,0.0,2
2021-02-01 00:30:00,25.6,0.0,22.6,0.0,0.0,2
2021-02-01 00:45:00,25.5,0.0,23.5,0.0,0.0,2
2021-02-01 01:00:00,24.5,0.0,23.0,0.0,0.0,2
2021-02-01 01:15:00,24.4,0.0,22.9,0.0,0.0,2
2021-02-01 01:30:00,24.7,0.0,23.3,0.0,0.0,2
2021-02-01 01:45:00,23.8,0.0,22.7,0.0,0.0,2
2021-02-01 02:00:00,23.1,0.0,22.2,0.0,0.0,2
2021-02-01 02:15:00,23.4,0.0,21.7,0.0,0.0,2
2021-02-01 02:30:00,23.5,0.0,21.2,0.0,0.0,2
2021-02-01 02:45:00,24.0,0.0,21.5,0.0,0.0,2
2021-02-01 03:00:00,24.1,0.0,21.2,0.0,0.0,2
2021-02-01 03:15:00,24.4,0.0,22.9,0.0,0.0,2
2021-02-01 03:30:00,24.5,0.0,23.3,0.0,0.0,2
2021-02-01 03:45:00,24.1,0.0,22.6,0.0,0.0,2
2021-02-01 04:00:00,24.2,0.0,22.8,0.0,0.0,2
2021-02-01 04:15:00,24.4,0.0,22.9,0.0,0.0,2
2021-02-01 04:30:00,24.4,0.0,23.4,0.0,0.0,2
2021-02-01 04:45:00,24.1,0.0,22.9,0.0,0.0,2
2021-02-01 05:00:00,23.8,0.0,22.6,0.0,0.0,2
2021-02-01 05:15:00,23.7,0.0,21.8,0.0,0.0,2
2021-02-01 05:30:00,23.4,0.0,22.0,0.0,0.0,2
2021-02-01 05:45:00,23.1,0.0,21.1,0.0,0.0,2
2021-02-01 06:00:00,22.3,0.0,21.3,0.0,0.0,2
2021-02-01 06:15:00,22.8,0.0,21.3,0.0,0.0,2
2021-02-01 06:30:00,23.0,0.0,21.4,0.0,0.0,2
2021-02-01 06:45:00,23.0,0.0,21.5,0.02,510.2,2
2021-02-01 07:00:00,23.1,0.0,22.1,0.02,659.7,2
2021-02-01 07:15:00,23.5,6.4,22.8,0.22,711.3,2
2021-02-01 07:30:00,23.8,32.1,22.4,0.42,740.3,2
2021-02-01 07:45:00,24.7,55.2,23.1,0.42,728.3,2
2021-02-01 08:00:00,25.8,80.3,25.7,0.62,734.3,2
