Time,Ambient_temp,Irradiance,PV_temp,PV_input_current(A),PV_input_voltage(V),PV_no.
2021-02-01 00:00:00,25.7,0.0,24.2,0.0,0.0,4
2021-02-01 00:15:00,25.3,0.0,23.3,0.0,0.0,4
2021-02-01 00:30:00,25.6,0.0,22.6,0.0,0.0,4
2021-02-01 00:45:00,25.5,0.0,23.5,0.0,0.0,4
2021-02-01 01:00:00,24.5,0.0,23.0,0.0,0.0,4
2021-02-01 01:15:00,24.4,0.0,22.9,0.0,0.0,4
2021-02-01 01:30:00,24.7,0.0,23.3,0.0,0.0,4
2021-02-01 01:45:00,23.8,0.0,22.7,0.0,0.0,4
2021-02-01 02:00:00,23.1,0.0,22.2,0.0,0.0,4
2021-02-01 02:15:00,23.4,0.0,21.7,0.0,0.0,4
2021-02-01 02:30:00,23.5,0.0,21.2,0.0,0.0,4
2021-02-01 02:45:00,24.0,0.0,21.5,0.0,0.0,4
2021-02-01 03:00:00,24.1,0.0,21.2,0.0,0.0,4
2021-02-01 03:15:00,24.4,0.0,22.9,0.0,0.0,4
2021-02-01 03:30:00,24.5,0.0,23.3,0.0,0.0,4
2021-02-01 03:45:00,24.1,0.0,22.6,0.0,0.0,4
2021-02-01 04:00:00,24.2,0.0,22.8,0.0,0.0,4
2021-02-01 04:15:00,24.4,0.0,22.9,0.0,0.0,4
2021-02-01 04:30:00,24.4,0.0,23.4,0.0,0.0,4
2021-02-01 04:45:00,24.1,0.0,22.9,0.0,0.0,4
2021-02-01 05:00:00,23.8,0.0,22.6,0.0,0.0,4
2021-02-01 05:15:00,23.7,0.0,21.8,0.0,0.0,4
2021-02-01 05:30:00,23.4,0.0,22.0,0.0,0.0,4
2021-02-01 05:45:00,23.1,0.0,21.1,0.0,0.0,4
2021-02-01 06:00:00,22.3,0.0,21.3,0.0,0.0,4
2021-02-01 06:15:00,22.8,0.0,21.3,0.0,0.0,4
2021-02-01 06:30:00,23.0,0.0,21.4,0.0,0.0,4
2021-02-01 06:45:00,23.0,0.0,21.5,0.03,538.8,4
2021-02-01 07:00:00,23.1,0.0,22.1,0.03,668.4,4
2021-02-01 07:15:00,23.5,6.4,22.8,0.23,717.6,4
2021-02-01 07:30:00,23.8,32.1,22.4,0.43,734.7,4
2021-02-01 07:45:00,24.7,55.2,23.1,0.43,735.0,4
2021-02-01 08:00:00,25.8,80.3,25.7,0.63,740.7,4
2021-02-01 08:15:00,26.7,122.4,27.9,1.03,740.9,4
2021-02-01 08:30:00,28.7,151.7,30.0,1.23,740.7,4
2021-02-01 08:45:00,30.1,192.0,29.4,1.63,728.7,4
2021-02-01 09:00:00,31.8,211.5,31.1,1.83,716.6,4
2021-02-01 09:15:00,31.7,231.0,33.4,2.23,716.7,4
2021-02-01 09:30:00,33.6,259.1,34.2,2.63,705.8,4
2021-02-01 09:45:00,34.5,285.4,35.8,3.23,709.7,4
2021-02-01 10:00:00,35.1,304.9,36.9,3.63,698.6,4
2021-02-01 10:15:00,36.8,323.2,37.6,4.23,692.7,4
2021-02-01 10:30:00,34.4,337.9,39.1,4.65,692.7,4
2021-02-01 10:45:00,39.8,357.4,41.4,5.06,692.7,4
2021-02-01 11:00:00,36.5,362.3,41.4,5.27,678.2,4
2021-02-01 11:15:00,39.2,370.8,43.6,5.47,677.3,4
2021-02-01 11:30:00,38.1,362.3,42.3,5.66,680.7,4
2021-02-01 11:45:00,37.8,396.5,42.8,6.08,674.7,4
2021-02-01 12:00:00,36.4,384.9,46.5,6.13,676.6,4
2021-02-01 12:15:00,39.5,394.1,44.8,6.33,674.7,4
2021-02-01 12:30:00,41.3,395.3,45.2,6.52,678.9,4
2021-02-01 12:45:00,41.1,391.0,44.6,6.53,674.7,4
2021-02-01 13:00:00,40.4,395.3,43.3,6.7,674.7,4
2021-02-01 13:15:00,38.3,388.5,45.9,6.5,678.7,4
2021-02-01 13:30:00,40.5,375.1,43.9,6.57,686.2,4
