Time,PV_input_current(A),PV_input_voltage(V),Irradiance,PV_temp,PV_no.
2021-02-01 00:00:00,0.0,0.0,0,0,2
2021-02-01 06:45:00,0.02,510.2,0,0,2
2021-02-01 07:00:00,0.02,659.7,0,0,2
2021-02-01 07:15:00,0.22,711.3,0,0,2
2021-02-01 07:30:00,0.42,740.3,0,0,2
2021-02-01 07:45:00,0.42,728.3,0,0,2
2021-02-01 08:00:00,0.62,734.3,0,0,2
2021-02-01 08:15:00,1.02,739.2,0,0,2
2021-02-01 08:30:00,1.22,728.3,0,0,2
2021-02-01 08:45:00,1.62,716.3,0,0,2
2021-02-01 09:00:00,1.82,716.3,0,0,2
2021-02-01 09:15:00,2.22,720.3,0,0,2
2021-02-01 09:30:00,2.82,706.3,0,0,2
2021-02-01 09:45:00,3.22,704.3,0,0,2
2021-02-01 10:00:00,3.62,698.3,0,0,2
2021-02-01 10:15:00,4.22,686.3,0,0,2
2021-02-01 10:30:00,4.62,686.3,0,0,2
2021-02-01 10:45:00,5.03,680.3,0,0,2
2021-02-01 11:00:00,5.23,682.1,0,0,2
2021-02-01 11:15:00,5.65,676.0,0,0,2
2021-02-01 11:30:00,5.68,680.3,0,0,2
2021-02-01 11:45:00,6.12,680.3,0,0,2
2021-02-01 12:00:00,6.32,668.0,0,0,2
2021-02-01 12:15:00,6.31,674.2,0,0,2
2021-02-01 12:30:00,6.33,674.1,0,0,2
2021-02-01 12:45:00,6.56,674.3,0,0,2
2021-02-01 13:00:00,6.57,674.3,0,0,2
2021-02-01 13:15:00,6.75,674.3,0,0,2
2021-02-01 13:30:00,6.46,674.3,0,0,2
2021-02-01 13:45:00,6.21,681.1,0,0,2
2021-02-01 14:00:00,6.2,674.3,0,0,2
2021-02-01 14:15:00,6.2,685.4,0,0,2
2021-02-01 14:30:00,5.97,680.3,0,0,2
2021-02-01 14:45:00,5.48,686.3,0,0,2
2021-02-01 15:00:00,5.26,686.3,0,0,2
2021-02-01 15:15:00,4.84,686.3,0,0,2
2021-02-01 15:30:00,4.64,694.4,0,0,2
2021-02-01 15:45:00,4.12,700.9,0,0,2
2021-02-01 16:00:00,3.72,692.3,0,0,2
2021-02-01 16:15:00,3.12,701.0,0,0,2
2021-02-01 16:30:00,2.72,695.6,0,0,2
2021-02-01 16:45:00,2.12,702.2,0,0,2
2021-02-01 17:00:00,1.72,698.3,0,0,2
2021-02-01 17:15:00,1.32,698.3,0,0,2
2021-02-01 17:30:00,0.92,686.3,0,0,2
2021-02-01 17:45:00,0.52,664.7,0,0,2
2021-02-01 18:00:00,0.32,644.2,0,0,2
2021-02-01 18:15:00,0.12,590.3,0,0,2
2021-02-01 18:30:00,0.12,450.1,0,0,2
2021-02-02 00:00:00,0.0,0.0,0,0,2
2021-02-02 06:45:00,0.06,564.4,0,0,2
2021-02-02 07:00:00,0.06,595.3,0,0,2
2021-02-02 07:15:00,0.26,726.4,0,0,2
2021-02-02 07:30:00,0.26,735.0,0,0,2
2021-02-02 07:45:00,0.46,738.3,0,0,2
2021-02-02 08:00:00,0.66,738.3,0,0,2
2021-02-02 08:15:00,0.86,736.1,0,0,2
2021-02-02 08:30:00,1.06,726.3,0,0,2
2021-02-02 08:45:00,1.46,720.3,0,0,2
2021-02-02 09:00:00,1.86,709.7,0,0,2
2021-02-02 09:15:00,2.26,714.4,0,0,2
2021-02-02 09:30:00,2.86,708.3,0,0,2
2021-02-02 09:45:00,3.46,708.2,0,0,2
2021-02-02 10:00:00,3.66,696.3,0,0,2
2021-02-02 10:15:00,4.21,702.3,0,0,2
2021-02-02 10:30:00,4.82,701.2,0,0,2
2021-02-02 10:45:00,5.23,707.3,0,0,2
2021-02-02 11:00:00,5.64,696.3,0,0,2
2021-02-02 11:15:00,5.87,690.3,0,0,2
2021-02-02 11:30:00,6.1,694.5,0,0,2
2021-02-02 11:45:00,6.31,684.3,0,0,2
2021-02-02 12:00:00,6.79,678.3,0,0,2
2021-02-02 12:15:00,6.79,676.4,0,0,2
2021-02-02 12:30:00,6.97,678.3,0,0,2
2021-02-02 12:45:00,7.17,678.3,0,0,2
2021-02-02 13:00:00,7.17,676.6,0,0,2
2021-02-02 13:15:00,7.39,672.3,0,0,2
2021-02-02 13:30:00,7.37,666.3,0,0,2
2021-02-02 13:45:00,7.19,666.3,0,0,2
2021-02-02 14:00:00,6.99,666.3,0,0,2
2021-02-02 14:15:00,6.78,675.3,0,0,2
2021-02-02 14:30:00,6.77,666.3,0,0,2
2021-02-02 14:45:00,6.54,660.3,0,0,2
2021-02-02 15:00:00,6.21,678.3,0,0,2
2021-02-02 15:15:00,5.78,688.4,0,0,2
2021-02-02 15:30:00,5.38,690.3,0,0,2
2021-02-02 15:45:00,5.16,690.3,0,0,2
2021-02-02 16:00:00,4.54,698.5,0,0,2
2021-02-02 16:15:00,4.11,696.3,0,0,2
2021-02-02 16:30:00,3.51,696.3,0,0,2
2021-02-02 16:45:00,3.11,702.3,0,0,2
2021-02-02 17:00:00,2.51,707.8,0,0,2
2021-02-02 17:15:00,1.91,702.3,0,0,2
2021-02-02 17:30:00,1.31,696.3,0,0,2
2021-02-02 17:45:00,0.71,684.3,0,0,2
2021-02-02 18:00:00,0.51,660.3,0,0,2
2021-02-02 18:15:00,0.27,576.4,0,0,2
2021-02-02 18:30:00,0.0,420.1,0,0,2
2021-02-02 18:45:00,0.0,0.0,0,0,2
2021-02-03 00:00:00,0.0,0.0,0,0,2
2021-02-03 06:45:00,0.06,554.6,0,0,2
2021-02-03 07:00:00,0.06,644.2,0,0,2
2021-02-03 07:15:00,0.26,698.6,0,0,2
2021-02-03 07:30:00,0.26,732.0,0,0,2
2021-02-03 07:45:00,0.46,728.6,0,0,2
2021-02-03 08:00:00,0.66,740.6,0,0,2
2021-02-03 08:15:00,0.86,732.8,0,0,2
2021-02-03 08:30:00,1.06,734.6,0,0,2
2021-02-03 08:45:00,1.46,722.6,0,0,2
2021-02-03 09:00:00,1.86,721.8,0,0,2
2021-02-03 09:15:00,2.46,722.5,0,0,2
2021-02-03 09:30:00,2.86,710.6,0,0,2
2021-02-03 09:45:00,3.26,711.1,0,0,2
2021-02-03 10:00:00,3.87,710.0,0,0,2
2021-02-03 10:15:00,4.28,710.6,0,0,2
2021-02-03 10:30:00,4.69,710.6,0,0,2
2021-02-03 10:45:00,5.11,706.2,0,0,2
2021-02-03 11:00:00,5.52,704.5,0,0,2
2021-02-03 11:15:00,5.72,702.0,0,0,2
2021-02-03 11:30:00,6.14,704.6,0,0,2
2021-02-03 11:45:00,6.32,704.5,0,0,2
2021-02-03 12:00:00,6.71,695.1,0,0,2
2021-02-03 12:15:00,6.68,698.5,0,0,2
2021-02-03 12:30:00,7.14,684.1,0,0,2
2021-02-03 12:45:00,7.13,684.1,0,0,2
2021-02-03 13:00:00,7.12,683.0,0,0,2
2021-02-03 13:15:00,6.88,686.6,0,0,2
2021-02-03 13:30:00,7.08,690.1,0,0,2
2021-02-03 13:45:00,7.01,690.1,0,0,2
2021-02-03 14:00:00,6.8,686.6,0,0,2
2021-02-03 14:15:00,6.56,683.4,0,0,2
2021-02-03 14:30:00,6.34,686.5,0,0,2
2021-02-03 14:45:00,6.14,689.3,0,0,2
2021-02-03 15:00:00,5.84,682.0,0,0,2
2021-02-03 15:15:00,5.42,698.6,0,0,2
2021-02-03 15:30:00,5.0,698.6,0,0,2
2021-02-03 15:45:00,4.6,696.9,0,0,2
2021-02-03 16:00:00,4.38,704.6,0,0,2
2021-02-03 16:15:00,3.78,698.6,0,0,2
2021-02-03 16:30:00,3.17,698.5,0,0,2
2021-02-03 16:45:00,2.77,704.6,0,0,2
2021-02-03 17:00:00,2.17,710.6,0,0,2
2021-02-03 17:15:00,1.77,704.2,0,0,2
2021-02-03 17:30:00,1.17,698.6,0,0,2
2021-02-03 17:45:00,0.77,674.9,0,0,2
2021-02-03 18:00:00,0.37,650.2,0,0,2
2021-02-03 18:15:00,0.17,570.8,0,0,2
2021-02-03 18:30:00,0.0,535.5,0,0,2
2021-02-03 18:45:00,0.0,0.0,0,0,2
2021-02-04 00:00:00,0.0,0.0,0,0,2
2021-02-04 06:45:00,0.03,492.8,0,0,2
2021-02-04 07:00:00,0.03,672.2,0,0,2
2021-02-04 07:15:00,0.23,707.8,0,0,2
2021-02-04 07:30:00,0.43,729.4,0,0,2
2021-02-04 07:45:00,0.43,722.3,0,0,2
2021-02-04 08:00:00,0.63,743.8,0,0,2
2021-02-04 08:15:00,1.05,731.9,0,0,2
2021-02-04 08:30:00,1.25,749.8,0,0,2
2021-02-04 08:45:00,1.65,737.4,0,0,2
2021-02-04 09:00:00,2.05,731.8,0,0,2
2021-02-04 09:15:00,2.46,725.6,0,0,2
2021-02-04 09:30:00,3.08,718.4,0,0,2
2021-02-04 09:45:00,3.08,719.8,0,0,2
2021-02-04 10:00:00,3.69,724.5,0,0,2
2021-02-04 10:15:00,4.29,722.1,0,0,2
2021-02-04 10:30:00,4.49,719.8,0,0,2
2021-02-04 10:45:00,5.13,705.7,0,0,2
2021-02-04 11:00:00,5.55,707.8,0,0,2
2021-02-04 11:15:00,5.76,701.8,0,0,2
2021-02-04 11:30:00,6.2,693.1,0,0,2
2021-02-04 11:45:00,6.65,695.8,0,0,2
2021-02-04 12:00:00,6.65,701.8,0,0,2
2021-02-04 12:15:00,6.85,698.4,0,0,2
2021-02-04 12:30:00,7.04,683.8,0,0,2
2021-02-04 12:45:00,7.04,687.2,0,0,2
2021-02-04 13:00:00,7.04,687.0,0,0,2
2021-02-04 13:15:00,7.23,683.8,0,0,2
2021-02-04 13:30:00,7.03,692.6,0,0,2
2021-02-04 13:45:00,7.06,686.5,0,0,2
2021-02-04 14:00:00,6.9,683.8,0,0,2
2021-02-04 14:15:00,6.49,683.8,0,0,2
2021-02-04 14:30:00,6.12,694.1,0,0,2
2021-02-04 14:45:00,5.9,695.8,0,0,2
2021-02-04 15:00:00,5.88,689.6,0,0,2
2021-02-04 15:15:00,5.44,690.0,0,0,2
2021-02-04 15:30:00,5.0,695.9,0,0,2
2021-02-04 15:45:00,0.0,842.0,0,0,2
2021-02-04 16:00:00,0.0,834.0,0,0,2
2021-02-04 16:15:00,0.0,831.0,0,0,2
2021-02-04 16:30:00,0.0,827.0,0,0,2
2021-02-04 16:45:00,0.3,826.0,0,0,2
2021-02-04 17:00:00,0.3,822.0,0,0,2
2021-02-04 17:15:00,0.0,816.0,0,0,2
2021-02-04 17:30:00,0.0,808.0,0,0,2
2021-02-04 17:45:00,0.0,795.0,0,0,2
2021-02-04 18:00:00,0.0,761.7,0,0,2
