Time,Ambient_temp,Irradiance,PV_temp,PV_input_current(A),PV_input_voltage(V),PV_no.
2024-12-17 00:00:00,0,0,25.2,0.0,0.0,1
2024-12-17 00:15:00,0,0,24.6,0.0,0.0,1
2024-12-17 00:30:00,0,0,24.4,0.0,0.0,1
2024-12-17 00:45:00,0,0,24.3,0.0,0.0,1
2024-12-17 01:00:00,0,0,24.1,0.0,0.0,1
2024-12-17 01:15:00,0,0,23.9,0.0,0.0,1
2024-12-17 01:30:00,0,0,23.6,0.0,0.0,1
2024-12-17 01:45:00,0,0,23.3,0.0,0.0,1
2024-12-17 02:00:00,0,0,23.1,0.0,0.0,1
2024-12-17 02:15:00,0,0,23.0,0.0,0.0,1
2024-12-17 02:30:00,0,0,23.3,0.0,0.0,1
2024-12-17 02:45:00,0,0,23.3,0.0,0.0,1
2024-12-17 03:00:00,0,0,23.0,0.0,0.0,1
2024-12-17 03:15:00,0,0,22.3,0.0,0.0,1
2024-12-17 03:30:00,0,0,22.3,0.0,0.0,1
2024-12-17 03:45:00,0,0,22.0,0.0,0.0,1
2024-12-17 04:00:00,0,0,21.8,0.0,0.0,1
2024-12-17 04:15:00,0,0,21.3,0.0,0.0,1
2024-12-17 04:30:00,0,0,21.3,0.0,0.0,1
2024-12-17 04:45:00,0,0,21.8,0.0,0.0,1
2024-12-17 05:00:00,0,0,21.6,0.0,0.0,1
2024-12-17 05:15:00,0,0,21.6,0.0,0.0,1
2024-12-17 05:30:00,0,0,21.4,0.0,0.0,1
2024-12-17 05:45:00,0,0,21.1,0.0,0.0,1
2024-12-17 06:00:00,0,0,21.2,0.0,0.0,1
2024-12-17 06:15:00,0,0,21.4,0.0,0.0,1
2024-12-17 06:30:00,0,0,21.3,0.0,501.3,1
2024-12-17 06:45:00,0,0,20.9,0.04,603.9,1
2024-12-17 07:00:00,0,0,21.0,0.04,698.1,1
2024-12-17 07:15:00,0,0,21.4,0.24,722.5,1
2024-12-17 07:30:00,0,0,22.2,0.24,737.9,1
2024-12-17 07:45:00,0,0,23.9,0.24,733.2,1
2024-12-17 08:00:00,0,0,24.4,0.64,739.2,1
2024-12-17 08:15:00,0,0,26.5,0.84,732.5,1
2024-12-17 08:30:00,0,0,26.4,1.44,721.2,1
2024-12-17 08:45:00,0,0,26.8,1.85,722.8,1
2024-12-17 09:00:00,0,0,27.8,2.45,718.3,1
2024-12-17 09:15:00,0,0,29.8,2.86,709.2,1
2024-12-17 09:30:00,0,0,31.0,3.46,703.2,1
2024-12-17 09:45:00,0,0,30.3,3.86,695.3,1
2024-12-17 10:00:00,0,0,30.4,4.46,689.2,1
2024-12-17 10:15:00,0,0,32.3,4.86,691.2,1
2024-12-17 10:30:00,0,0,32.4,5.27,684.1,1
2024-12-17 10:45:00,0,0,34.2,5.67,678.1,1
