Time,PV_input_current(A),PV_input_voltage(V),Irradiance,PV_temp,PV_no.
2022-01-01 00:00:00,0.0,0.0,0.0,22.9,2
2022-01-01 06:45:00,0.03,608.9,0.0,20.3,2
2022-01-01 07:00:00,0.03,685.7,0.0,20.7,2
2022-01-01 07:15:00,0.23,728.9,21.6,21.0,2
2022-01-01 07:30:00,0.23,740.8,51.6,21.0,2
2022-01-01 07:45:00,0.23,740.8,86.9,21.8,2
2022-01-01 08:00:00,0.27,785.6,127.3,27.1,2
2022-01-01 08:15:00,0.54,803.0,167.0,29.5,2
2022-01-01 08:30:00,0.38,831.2,204.2,28.4,2
2022-01-01 08:45:00,0.58,827.2,218.2,26.8,2
2022-01-01 09:00:00,0.87,830.8,261.6,27.7,2
2022-01-01 09:15:00,0.95,829.9,281.1,29.6,2
2022-01-01 09:30:00,1.14,831.8,304.3,30.8,2
2022-01-01 09:45:00,1.26,828.0,313.5,31.9,2
2022-01-01 10:00:00,1.31,831.3,332.4,32.6,2
2022-01-01 10:15:00,1.53,826.3,349.5,33.1,2
2022-01-01 10:30:00,1.46,822.9,366.5,36.7,2
2022-01-01 10:45:00,1.48,819.6,381.3,39.4,2
2022-01-01 11:00:00,1.41,819.8,391.0,39.8,2
2022-01-01 11:15:00,1.35,817.6,397.8,42.0,2
2022-01-01 11:30:00,1.59,814.2,401.4,42.5,2
2022-01-01 11:45:00,1.55,814.5,407.5,42.6,2
2022-01-01 12:00:00,1.23,822.4,411.8,42.6,2
2022-01-01 12:15:00,1.32,816.7,434.4,43.6,2
2022-01-01 12:30:00,1.08,820.4,428.9,43.7,2
2022-01-01 12:45:00,1.08,813.5,408.7,44.6,2
2022-01-01 13:00:00,1.08,812.7,427.0,44.3,2
2022-01-01 13:15:00,1.13,813.8,436.2,43.7,2
2022-01-01 13:30:00,1.2,811.8,396.5,42.3,2
2022-01-01 13:45:00,1.09,824.9,392.2,38.6,2
2022-01-01 14:00:00,1.37,811.4,386.1,41.5,2
2022-01-01 14:15:00,1.29,811.8,368.4,44.5,2
2022-01-01 14:30:00,1.6,821.3,357.4,39.7,2
2022-01-01 14:45:00,0.5,809.2,88.8,40.7,2
2022-01-01 15:00:00,1.49,814.6,320.2,38.2,2
2022-01-01 15:15:00,1.32,813.7,292.1,42.2,2
2022-01-01 15:30:00,1.49,813.4,267.7,36.7,2
2022-01-01 15:45:00,1.68,810.6,229.8,36.5,2
2022-01-01 16:00:00,2.17,802.4,209.1,32.3,2
2022-01-01 16:15:00,2.13,790.1,188.4,34.7,2
2022-01-01 16:30:00,2.32,768.1,145.0,34.0,2
2022-01-01 16:45:00,2.5,710.8,100.4,31.0,2
2022-01-01 17:00:00,2.09,710.9,77.8,32.1,2
2022-01-01 17:15:00,1.69,704.8,45.5,32.0,2
2022-01-01 17:30:00,1.09,696.3,12.5,30.6,2
2022-01-01 17:45:00,0.49,686.8,0.0,28.9,2
2022-01-01 18:00:00,0.09,566.9,0.0,27.4,2
2022-01-01 18:15:00,0.0,151.3,0.0,26.3,2
2022-01-02 00:00:00,0.0,0.0,0.0,23.8,2
2022-01-02 06:45:00,0.02,555.8,0.0,20.3,2
2022-01-02 07:00:00,0.02,687.7,0.0,19.9,2
2022-01-02 07:15:00,0.22,723.6,17.3,19.6,2
2022-01-02 07:30:00,0.22,753.3,47.9,19.7,2
2022-01-02 07:45:00,0.42,735.7,82.7,21.1,2
2022-01-02 08:00:00,0.44,789.3,121.8,27.2,2
2022-01-02 08:15:00,0.55,807.2,158.4,31.6,2
2022-01-02 08:30:00,0.58,818.1,193.2,30.3,2
2022-01-02 08:45:00,0.8,821.4,225.6,28.9,2
2022-01-02 09:00:00,0.6,831.5,251.2,30.4,2
2022-01-02 09:15:00,0.89,829.2,272.6,31.0,2
2022-01-02 09:30:00,1.01,830.0,297.0,32.8,2
2022-01-02 09:45:00,1.25,826.0,306.2,36.0,2
2022-01-02 10:00:00,1.18,826.7,328.8,37.5,2
2022-01-02 10:15:00,1.12,829.2,356.8,38.4,2
2022-01-02 10:30:00,1.17,824.7,368.4,39.5,2
2022-01-02 10:45:00,1.28,813.9,304.9,40.0,2
2022-01-02 11:00:00,1.61,818.0,383.0,38.5,2
2022-01-02 11:15:00,1.67,816.6,406.9,39.6,2
2022-01-02 11:30:00,1.62,813.8,406.2,44.5,2
2022-01-02 11:45:00,1.3,812.6,394.1,40.4,2
2022-01-02 12:00:00,1.48,812.3,413.0,44.2,2
2022-01-02 12:15:00,1.36,810.9,427.0,44.6,2
2022-01-02 12:30:00,1.23,811.1,425.8,48.1,2
2022-01-02 12:45:00,1.81,718.1,107.7,47.1,2
2022-01-02 13:00:00,1.62,828.8,406.2,41.6,2
2022-01-02 13:15:00,1.18,759.5,102.9,37.7,2
2022-01-02 13:30:00,1.4,834.9,450.9,40.3,2
2022-01-02 13:45:00,1.6,825.5,397.1,40.0,2
2022-01-02 14:00:00,1.53,814.4,398.4,43.7,2
2022-01-02 14:15:00,1.58,784.8,140.1,36.4,2
2022-01-02 14:30:00,0.73,824.8,400.2,41.6,2
2022-01-02 14:45:00,1.75,669.7,62.6,35.3,2
2022-01-02 15:00:00,1.8,827.9,212.1,33.1,2
2022-01-02 15:15:00,1.58,823.8,268.9,34.8,2
2022-01-02 15:30:00,1.55,810.1,204.8,36.3,2
2022-01-02 15:45:00,1.65,820.6,295.1,38.4,2
2022-01-02 16:00:00,1.58,818.8,256.1,38.1,2
2022-01-02 16:15:00,1.56,670.2,63.2,38.2,2
2022-01-02 16:30:00,1.94,804.0,151.1,31.6,2
2022-01-02 16:45:00,2.0,705.5,80.9,31.4,2
2022-01-02 17:00:00,1.99,770.7,101.7,32.4,2
2022-01-02 17:15:00,1.42,705.6,40.6,30.6,2
2022-01-02 17:30:00,1.21,693.6,27.2,30.9,2
2022-01-02 17:45:00,0.61,662.2,0.0,29.2,2
2022-01-02 18:00:00,0.21,569.3,0.0,27.7,2
2022-01-02 18:15:00,0.21,513.6,0.0,26.8,2
2022-01-02 18:30:00,0.0,0.0,0.0,25.8,2
2022-01-03 00:00:00,0.0,0.0,0.0,23.5,2
2022-01-03 06:45:00,0.03,643.9,0.0,21.6,2
2022-01-03 07:00:00,0.23,711.8,0.0,21.3,2
2022-01-03 07:15:00,0.23,729.7,22.9,21.3,2
2022-01-03 07:30:00,0.43,711.7,14.9,22.1,2
2022-01-03 07:45:00,0.43,700.8,24.1,22.0,2
2022-01-03 08:00:00,0.63,728.5,52.8,24.4,2
2022-01-03 08:15:00,0.84,723.7,74.1,25.0,2
2022-01-03 08:30:00,1.02,729.7,115.7,27.3,2
2022-01-03 08:45:00,0.68,806.4,160.8,27.5,2
2022-01-03 09:00:00,0.56,838.7,255.5,29.0,2
2022-01-03 09:15:00,0.99,828.6,279.9,30.7,2
2022-01-03 09:30:00,1.3,820.4,289.7,34.0,2
2022-01-03 09:45:00,1.19,828.9,315.3,34.8,2
2022-01-03 10:00:00,1.31,823.0,368.4,38.7,2
2022-01-03 10:15:00,1.41,818.9,329.9,38.3,2
2022-01-03 10:30:00,1.04,824.1,248.7,38.8,2
2022-01-03 10:45:00,1.52,831.2,406.2,39.3,2
2022-01-03 11:00:00,1.49,826.5,438.0,41.0,2
2022-01-03 11:15:00,1.41,806.2,263.4,42.3,2
2022-01-03 11:30:00,1.33,814.3,428.9,44.9,2
2022-01-03 11:45:00,1.73,812.1,481.4,45.5,2
2022-01-03 12:00:00,1.37,836.0,522.9,42.2,2
2022-01-03 12:15:00,1.04,819.2,514.3,44.4,2
2022-01-03 12:30:00,1.1,799.9,320.8,46.4,2
2022-01-03 12:45:00,1.5,822.5,397.8,43.6,2
2022-01-03 13:00:00,1.01,816.3,380.0,40.4,2
2022-01-03 13:15:00,1.14,808.9,448.4,46.5,2
2022-01-03 13:30:00,0.85,823.7,458.8,44.9,2
2022-01-03 13:45:00,1.04,809.9,353.1,43.0,2
2022-01-03 14:00:00,1.18,807.8,386.7,49.0,2
2022-01-03 14:15:00,1.68,646.4,60.7,45.1,2
2022-01-03 14:30:00,1.34,829.8,413.0,42.6,2
2022-01-03 14:45:00,1.27,764.0,97.4,41.2,2
2022-01-03 15:00:00,1.45,830.3,391.6,40.4,2
2022-01-03 15:15:00,1.64,824.2,268.9,38.9,2
2022-01-03 15:30:00,1.52,841.8,384.2,38.6,2
2022-01-03 15:45:00,1.98,791.7,176.1,36.8,2
2022-01-03 16:00:00,1.68,699.6,69.9,32.1,2
2022-01-03 16:15:00,2.17,822.3,257.9,35.1,2
2022-01-03 16:30:00,2.66,790.9,187.1,33.9,2
2022-01-03 16:45:00,0.92,677.8,21.0,33.2,2
2022-01-03 17:00:00,0.72,693.7,11.3,30.0,2
2022-01-03 17:15:00,0.72,675.7,11.3,29.4,2
2022-01-03 17:30:00,0.52,664.2,0.3,29.3,2
2022-01-03 17:45:00,0.32,657.8,0.0,29.0,2
2022-01-03 18:00:00,0.12,531.7,0.0,27.7,2
2022-01-03 18:15:00,0.12,477.7,0.0,27.3,2
2022-01-04 00:00:00,0.0,0.0,0.0,23.7,2
2022-01-04 06:45:00,0.07,533.5,0.0,22.4,2
2022-01-04 07:00:00,0.07,605.5,0.0,22.6,2
2022-01-04 07:15:00,0.27,701.5,0.0,22.9,2
2022-01-04 07:30:00,0.27,695.6,4.5,23.6,2
2022-01-04 07:45:00,0.67,701.5,21.6,24.0,2
2022-01-04 08:00:00,0.87,707.5,46.1,24.6,2
2022-01-04 08:15:00,1.27,723.5,102.2,27.7,2
2022-01-04 08:30:00,2.2,714.0,248.7,32.7,2
2022-01-04 08:45:00,2.36,716.2,193.8,32.4,2
2022-01-04 09:00:00,2.48,713.5,165.7,33.1,2
2022-01-04 09:15:00,2.27,713.5,149.9,32.0,2
2022-01-04 09:30:00,1.82,712.0,82.7,31.7,2
2022-01-04 09:45:00,2.22,719.3,118.8,31.1,2
2022-01-04 10:00:00,2.84,713.7,179.1,33.5,2
2022-01-04 10:15:00,2.75,701.7,162.7,35.2,2
2022-01-04 10:30:00,3.9,689.5,247.5,38.7,2
2022-01-04 10:45:00,3.6,689.4,209.7,37.8,2
2022-01-04 11:00:00,2.74,689.7,140.7,36.8,2
2022-01-04 11:15:00,2.32,701.5,119.9,33.1,2
2022-01-04 11:30:00,3.56,701.5,213.9,34.6,2
2022-01-04 11:45:00,7.77,701.7,551.6,38.7,2
2022-01-04 12:00:00,5.1,689.1,323.2,37.4,2
2022-01-04 12:15:00,9.07,671.1,576.0,39.7,2
2022-01-04 12:30:00,7.26,665.5,441.0,45.4,2
2022-01-04 12:45:00,7.23,665.5,432.6,44.0,2
2022-01-04 13:00:00,7.32,678.1,432.6,39.3,2
2022-01-04 13:15:00,7.25,665.5,411.8,42.9,2
2022-01-04 13:30:00,7.16,665.5,398.4,43.2,2
2022-01-04 13:45:00,7.08,670.2,394.7,45.4,2
2022-01-04 14:00:00,1.25,647.5,38.1,40.4,2
2022-01-04 14:15:00,7.22,689.5,394.7,38.1,2
2022-01-04 14:30:00,5.97,713.5,337.3,35.1,2
2022-01-04 14:45:00,6.17,695.5,342.8,37.5,2
2022-01-04 15:00:00,6.0,709.5,328.8,38.6,2
2022-01-04 15:15:00,5.17,701.5,265.8,38.2,2
2022-01-04 15:30:00,5.64,695.5,302.5,38.6,2
2022-01-04 15:45:00,5.02,701.5,253.6,39.2,2
2022-01-04 16:00:00,4.82,695.5,248.1,37.8,2
2022-01-04 16:15:00,4.01,693.7,194.4,34.2,2
2022-01-04 16:30:00,2.97,695.5,137.1,33.2,2
2022-01-04 16:45:00,2.56,701.5,110.2,33.1,2
