Time,PV_input_current(A),PV_input_voltage(V),Ambient_temp,Irradiance,PV_temp,PV_no.
2/8/2025 0:00,0,0,0,0,0,1
2/8/2025 0:00,0,0,0,0,0,2
2/8/2025 0:00,0,0,0,0,0,3
2/8/2025 0:00,0,0,0,0,0,4
2/8/2025 0:00,0,0,0,0,0,5
2/8/2025 0:00,0,0,0,0,0,6
2/8/2025 0:00,0,0,0,0,0,7
2/8/2025 0:00,0,0,0,0,0,8
2/8/2025 0:00,0,0,0,0,0,9
2/8/2025 0:00,0,0,0,0,0,10
2/8/2025 6:45,0,566.3,0,0,23.7,1
2/8/2025 6:45,0,566.3,0,0,23.7,2
2/8/2025 6:45,0,565.9,0,0,23.7,3
2/8/2025 6:45,0,565.9,0,0,23.7,4
2/8/2025 6:45,0,566.8,0,0,23.7,5
2/8/2025 6:45,0,566.8,0,0,23.7,6
2/8/2025 6:45,0,566.9,0,0,23.7,7
2/8/2025 6:45,0,566.9,0,0,23.7,8
2/8/2025 6:45,0,566.1,0,0,23.7,9
2/8/2025 6:45,0,566.1,0,0,23.7,10
2/8/2025 7:00,0.01,590.1,0,0,23.8,1
2/8/2025 7:00,0.03,590.1,0,0,23.8,2
2/8/2025 7:00,0.01,583.4,0,0,23.8,3
2/8/2025 7:00,0.02,583.4,0,0,23.8,4
2/8/2025 7:00,0.01,585.1,0,0,23.8,5
2/8/2025 7:00,0.02,585.1,0,0,23.8,6
2/8/2025 7:00,0.01,608.6,0,0,23.8,7
2/8/2025 7:00,0.02,608.6,0,0,23.8,8
2/8/2025 7:00,0.01,614.1,0,0,23.8,9
2/8/2025 7:00,0.02,614.1,0,0,23.8,10
2/8/2025 7:15,0.21,662,0,0,23.9,1
2/8/2025 7:15,0.23,662,0,0,23.9,2
2/8/2025 7:15,0.21,691.4,0,0,23.9,3
2/8/2025 7:15,0.22,691.4,0,0,23.9,4
2/8/2025 7:15,0.21,675.1,0,0,23.9,5
2/8/2025 7:15,0.22,675.1,0,0,23.9,6
2/8/2025 7:15,0.21,680.6,0,0,23.9,7
2/8/2025 7:15,0.22,680.6,0,0,23.9,8
2/8/2025 7:15,0.21,674.1,0,0,23.9,9
2/8/2025 7:15,0.22,674.1,0,0,23.9,10
2/8/2025 7:30,0.41,704,0,0,24.5,1
2/8/2025 7:30,0.23,704,0,0,24.5,2
2/8/2025 7:30,0.41,697.3,0,0,24.5,3
2/8/2025 7:30,0.22,697.3,0,0,24.5,4
2/8/2025 7:30,0.41,687.2,0,0,24.5,5
2/8/2025 7:30,0.22,687.2,0,0,24.5,6
2/8/2025 7:30,0.41,704.6,0,0,24.5,7
2/8/2025 7:30,0.22,704.6,0,0,24.5,8
2/8/2025 7:30,0.41,698.1,0,0,24.5,9
2/8/2025 7:30,0.22,698.1,0,0,24.5,10
2/8/2025 7:45,1.01,722,0,0,24.8,1
2/8/2025 7:45,0.43,722,0,0,24.8,2
2/8/2025 7:45,0.81,721.4,0,0,24.8,3
2/8/2025 7:45,0.42,721.4,0,0,24.8,4
2/8/2025 7:45,0.81,717.1,0,0,24.8,5
2/8/2025 7:45,0.42,717.1,0,0,24.8,6
2/8/2025 7:45,0.81,728.6,0,0,24.8,7
2/8/2025 7:45,0.42,728.6,0,0,24.8,8
2/8/2025 7:45,0.81,728.1,0,0,24.8,9
2/8/2025 7:45,0.42,728.1,0,0,24.8,10
2/8/2025 8:00,0.99,711.6,0,0,25.6,1
2/8/2025 8:00,0.63,711.6,0,0,25.6,2
2/8/2025 8:00,1.01,712,0,0,25.6,3
2/8/2025 8:00,0.62,712,0,0,25.6,4
2/8/2025 8:00,1.01,711.1,0,0,25.6,5
2/8/2025 8:00,0.62,711.1,0,0,25.6,6
2/8/2025 8:00,1.01,714,0,0,25.6,7
2/8/2025 8:00,0.62,714,0,0,25.6,8
2/8/2025 8:00,1.01,716.1,0,0,25.6,9
2/8/2025 8:00,0.62,716.1,0,0,25.6,10
2/8/2025 8:15,1.78,732.5,0,0,27.8,1
2/8/2025 8:15,0.83,732.5,0,0,27.8,2
2/8/2025 8:15,1.83,728.6,0,0,27.8,3
2/8/2025 8:15,0.82,728.6,0,0,27.8,4
2/8/2025 8:15,1.81,723.1,0,0,27.8,5
2/8/2025 8:15,0.82,723.1,0,0,27.8,6
2/8/2025 8:15,1.85,733.4,0,0,27.8,7
2/8/2025 8:15,0.82,733.4,0,0,27.8,8
2/8/2025 8:15,1.83,739.7,0,0,27.8,9
2/8/2025 8:15,0.83,739.7,0,0,27.8,10
2/8/2025 8:30,2.69,740,0,0,28.1,1
2/8/2025 8:30,1.23,740,0,0,28.1,2
2/8/2025 8:30,2.56,739.3,0,0,28.1,3
2/8/2025 8:30,1.23,739.3,0,0,28.1,4
2/8/2025 8:30,2.7,723.1,0,0,28.1,5
2/8/2025 8:30,1.22,723.1,0,0,28.1,6
2/8/2025 8:30,2.61,739.4,0,0,28.1,7
2/8/2025 8:30,1.22,739.4,0,0,28.1,8
2/8/2025 8:30,2.62,740.2,0,0,28.1,9
2/8/2025 8:30,1.24,740.2,0,0,28.1,10
2/8/2025 8:45,3.52,729.4,0,0,28.9,1
2/8/2025 8:45,1.82,729.4,0,0,28.9,2
2/8/2025 8:45,3.43,733.1,0,0,28.9,3
2/8/2025 8:45,1.97,733.1,0,0,28.9,4
2/8/2025 8:45,3.38,717.5,0,0,28.9,5
2/8/2025 8:45,1.86,717.5,0,0,28.9,6
2/8/2025 8:45,3.55,728.7,0,0,28.9,7
2/8/2025 8:45,1.85,728.7,0,0,28.9,8
2/8/2025 8:45,3.3,729.6,0,0,28.9,9
2/8/2025 8:45,1.83,729.6,0,0,28.9,10
2/8/2025 9:00,2.03,716,0,0,29.5,1
2/8/2025 9:00,1.79,716,0,0,29.5,2
2/8/2025 9:00,2.01,715.4,0,0,29.5,3
2/8/2025 9:00,1.85,715.4,0,0,29.5,4
2/8/2025 9:00,2,712.2,0,0,29.5,5
2/8/2025 9:00,1.66,712.2,0,0,29.5,6
2/8/2025 9:00,2.04,722.4,0,0,29.5,7
2/8/2025 9:00,1.76,722.4,0,0,29.5,8
2/8/2025 9:00,1.94,726.7,0,0,29.5,9
2/8/2025 9:00,1.82,726.7,0,0,29.5,10
2/8/2025 9:15,2.2,727.9,0,0,30,1
2/8/2025 9:15,1.87,727.9,0,0,30,2
2/8/2025 9:15,2.25,720.6,0,0,30,3
2/8/2025 9:15,1.91,720.6,0,0,30,4
2/8/2025 9:15,2.37,711.2,0,0,30,5
2/8/2025 9:15,1.87,711.2,0,0,30,6
2/8/2025 9:15,2.2,722.6,0,0,30,7
2/8/2025 9:15,1.92,722.6,0,0,30,8
2/8/2025 9:15,2.28,727.3,0,0,30,9
2/8/2025 9:15,1.89,727.3,0,0,30,10
2/8/2025 9:30,5.33,740.3,0,0,30.6,1
2/8/2025 9:30,3.35,740.3,0,0,30.6,2
2/8/2025 9:30,5.17,727.3,0,0,30.6,3
2/8/2025 9:30,3.32,727.3,0,0,30.6,4
2/8/2025 9:30,5.59,718.2,0,0,30.6,5
2/8/2025 9:30,3.41,718.2,0,0,30.6,6
2/8/2025 9:30,5.33,742,0,0,30.6,7
2/8/2025 9:30,3.37,742,0,0,30.6,8
2/8/2025 9:30,5.35,734.1,0,0,30.6,9
2/8/2025 9:30,3.24,734.1,0,0,30.6,10
2/8/2025 9:45,5.45,728.2,0,0,33.6,1
2/8/2025 9:45,3.32,728.2,0,0,33.6,2
2/8/2025 9:45,5.77,714.7,0,0,33.6,3
2/8/2025 9:45,3.23,714.7,0,0,33.6,4
2/8/2025 9:45,5.48,714.8,0,0,33.6,5
2/8/2025 9:45,3.08,714.8,0,0,33.6,6
2/8/2025 9:45,5.55,734.7,0,0,33.6,7
2/8/2025 9:45,3.26,734.7,0,0,33.6,8
2/8/2025 9:45,5.58,707.7,0,0,33.6,9
2/8/2025 9:45,3.47,707.7,0,0,33.6,10
2/8/2025 10:00,5.59,710,0,0,33.2,1
2/8/2025 10:00,3.51,710,0,0,33.2,2
2/8/2025 10:00,5.53,709.4,0,0,33.2,3
2/8/2025 10:00,3.71,709.4,0,0,33.2,4
2/8/2025 10:00,5.58,711.1,0,0,33.2,5
2/8/2025 10:00,3.58,711.1,0,0,33.2,6
2/8/2025 10:00,5.63,712.7,0,0,33.2,7
2/8/2025 10:00,3.68,712.7,0,0,33.2,8
2/8/2025 10:00,5.48,713.5,0,0,33.2,9
2/8/2025 10:00,3.67,713.5,0,0,33.2,10
2/8/2025 10:15,6.01,722,0,0,32.9,1
2/8/2025 10:15,4.12,722,0,0,32.9,2
2/8/2025 10:15,5.95,711.5,0,0,32.9,3
2/8/2025 10:15,4.11,711.5,0,0,32.9,4
2/8/2025 10:15,5.98,711.1,0,0,32.9,5
2/8/2025 10:15,4,711.1,0,0,32.9,6
2/8/2025 10:15,6.03,716.6,0,0,32.9,7
2/8/2025 10:15,4.08,716.6,0,0,32.9,8
2/8/2025 10:15,5.93,716.1,0,0,32.9,9
2/8/2025 10:15,4.08,716.1,0,0,32.9,10
